time,command_i1,command_i2,set_v1,set_v2,i1,i2,pos1,pos2,vel1,vel2
1669426401.328177,0.1,-0.1,0,0,0.10759162902832031,-0.08553028106689453,-0.0010262131690979004,-0.003051280975341797,0.0,-0.006605684757232666
1669426401.3391619,0.1,-0.1,0,0,0.12558746337890625,-0.09647369384765625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.3501139,0.1,-0.1,0,0,0.06685352325439453,-0.08912944793701172,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.3601644,0.1,-0.1,0,0,0.20903778076171875,-0.07793998718261719,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.3710477,0.1,-0.1,0,0,0.11866378784179688,-0.03912162780761719,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.382018,0.1,-0.1,0,0,0.10541439056396484,-0.06709527969360352,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.3920786,0.1,-0.1,0,0,0.09157276153564453,-0.10556745529174805,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.4029703,0.1,-0.1,0,0,0.038575172424316406,-0.06884479522705078,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.413929,0.1,-0.1,0,0,0.08465194702148438,-0.1384434700012207,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.4248939,0.1,-0.1,0,0,0.16355466842651367,-0.06359624862670898,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.4358883,0.1,-0.1,0,0,0.07891559600830078,-0.12760019302368164,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.4468307,0.1,-0.1,0,0,0.09157419204711914,-0.09647369384765625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426401.4568336,0.1,-0.1,0,0,0.11292886734008789,-0.14403820037841797,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
